AID	Sample_ID	chr1p36	MeanL1methy	MeanL1HSmethy	cancerType
TCGA-DK-AA6S-01A	TCGA.DK.AA6S.01A	WT	0.676259543659068	0.740774171491932	TCGA-BLCA
TCGA-DK-AA6T-01A	TCGA.DK.AA6T.01A	WT	0.733760553307598	0.860366768304239	TCGA-BLCA
TCGA-DK-AA6U-01A	TCGA.DK.AA6U.01A	WT	0.610520010741787	0.756554952678507	TCGA-BLCA
TCGA-DK-AA6W-01A	TCGA.DK.AA6W.01A	WT	0.647240139093442	0.785931680449483	TCGA-BLCA
TCGA-DK-AA6X-01A	TCGA.DK.AA6X.01A	WT	0.686450693884607	0.800405729151286	TCGA-BLCA
TCGA-DK-AA71-01A	TCGA.DK.AA71.01A	WT	0.720191479948914	0.718880171469045	TCGA-BLCA
TCGA-DK-AA74-01A	TCGA.DK.AA74.01A	WT	0.756686740297509	0.835853606122073	TCGA-BLCA
TCGA-DK-AA75-01A	TCGA.DK.AA75.01A	WT	0.512390981826695	0.704752380539066	TCGA-BLCA
TCGA-DK-AA76-01A	TCGA.DK.AA76.01A	WT	0.581469849278933	0.58792474117319	TCGA-BLCA
TCGA-DK-AA77-01A	TCGA.DK.AA77.01A	WT	0.614752825433329	0.818602679812221	TCGA-BLCA
TCGA-E5-A2PC-01A	TCGA.E5.A2PC.01A	WT	0.531384988852275	0.6922217155928	TCGA-BLCA
TCGA-E5-A4TZ-01A	TCGA.E5.A4TZ.01A	WT	0.537005121855779	0.654821233432117	TCGA-BLCA
TCGA-E5-A4U1-01A	TCGA.E5.A4U1.01A	WT	0.577569729387095	0.717022700839013	TCGA-BLCA
TCGA-E7-A3X6-01A	TCGA.E7.A3X6.01A	WT	0.605329442185225	0.835562014753491	TCGA-BLCA
TCGA-E7-A3Y1-01A	TCGA.E7.A3Y1.01A	WT	0.641110740165812	0.824060618918923	TCGA-BLCA
TCGA-E7-A4IJ-01A	TCGA.E7.A4IJ.01A	WT	0.616327535528634	0.751753330921837	TCGA-BLCA
TCGA-E7-A4XJ-01A	TCGA.E7.A4XJ.01A	WT	0.644468722526686	0.841312937533395	TCGA-BLCA
TCGA-E7-A519-01A	TCGA.E7.A519.01A	WT	0.765966963555527	0.851726128096085	TCGA-BLCA
TCGA-E7-A541-01A	TCGA.E7.A541.01A	WT	0.708064723302547	0.848495510848877	TCGA-BLCA
TCGA-E7-A5KE-01A	TCGA.E7.A5KE.01A	WT	0.482302321805919	0.701636245112559	TCGA-BLCA
TCGA-E7-A5KF-01A	TCGA.E7.A5KF.01A	WT	0.670053042293026	0.822339373656426	TCGA-BLCA
TCGA-E7-A677-01A	TCGA.E7.A677.01A	WT	0.673747789232857	0.794608836694064	TCGA-BLCA
TCGA-E7-A678-01A	TCGA.E7.A678.01A	WT	0.64932248564109	0.841740461620431	TCGA-BLCA
TCGA-E7-A6MD-01A	TCGA.E7.A6MD.01A	WT	0.663730699138762	0.728006858770523	TCGA-BLCA
TCGA-E7-A6ME-01A	TCGA.E7.A6ME.01A	WT	0.667071367606005	0.83233863131254	TCGA-BLCA
TCGA-E7-A6MF-01A	TCGA.E7.A6MF.01A	WT	0.730852904181987	0.850121041848576	TCGA-BLCA
TCGA-E7-A7DU-01A	TCGA.E7.A7DU.01A	WT	0.587220430524235	0.820002057600168	TCGA-BLCA
TCGA-E7-A7DV-01A	TCGA.E7.A7DV.01A	WT	0.656210451332367	0.767277655054561	TCGA-BLCA
TCGA-E7-A7PW-01A	TCGA.E7.A7PW.01A	WT	0.681168535379706	0.744035469133566	TCGA-BLCA
TCGA-E7-A7XN-01A	TCGA.E7.A7XN.01A	WT	0.704723064564555	0.769313776478171	TCGA-BLCA
TCGA-E7-A85H-01A	TCGA.E7.A85H.01A	WT	0.760986675330487	0.622539239701956	TCGA-BLCA
TCGA-E7-A8O7-01A	TCGA.E7.A8O7.01A	WT	0.680887840826357	0.794864327050267	TCGA-BLCA
TCGA-E7-A8O8-01A	TCGA.E7.A8O8.01A	WT	0.522835146386367	0.770929280898444	TCGA-BLCA
TCGA-E7-A97P-01A	TCGA.E7.A97P.01A	WT	0.69036325686311	0.687948002597845	TCGA-BLCA
TCGA-E7-A97Q-01A	TCGA.E7.A97Q.01A	WT	0.549970000730263	0.67698331439612	TCGA-BLCA
TCGA-FD-A3B3-01A	TCGA.FD.A3B3.01A	WT	0.690165618476299	0.784026298794836	TCGA-BLCA
TCGA-FD-A3B4-01A	TCGA.FD.A3B4.01A	WT	0.728201555875156	0.799782855517497	TCGA-BLCA
TCGA-FD-A3B5-01A	TCGA.FD.A3B5.01A	Loss	0.595467335180861	0.603587232929118	TCGA-BLCA
TCGA-FD-A3B6-01A	TCGA.FD.A3B6.01A	WT	0.63282664223342	0.773205823299128	TCGA-BLCA
TCGA-FD-A3B7-01A	TCGA.FD.A3B7.01A	WT	0.736203086619993	0.77218721859329	TCGA-BLCA
