Gene	occurrence	OncoKB	Oncogene	TSG
PRDM1	639	7	Yes	No	Yes
PRDM14	63978	3	Yes	No	No
PREX2	80243	4	Yes	No	No
PRKACA	5566	2	Yes	Yes	No
PRKAR1A	5573	6	Yes	No	No
PRKCI	5584	4	Yes	Yes	No
PRKD1	5587	3	Yes	No	No
PRKN	5071	4	Yes	No	Yes
PRPF8	10594	1	Yes	No	Yes
PRSS1	5644	1	Yes	No	No
PSMB2	5690	1	Yes	Yes	No
PTCH1	5727	7	Yes	No	Yes
PTEN	5728	7	Yes	No	Yes
PTP4A1	7803	3	Yes	No	No
PTPN1	5770	2	Yes	Yes	Yes
PTPN11	5781	7	Yes	Yes	No
PTPN2	5771	3	Yes	No	Yes
PTPRD	5789	3	Yes	No	Yes
PTPRS	5802	3	Yes	No	Yes
PTPRT	11122	4	Yes	No	Yes
PUM1	9698	1	Yes	No	No
RAB35	11021	3	Yes	Yes	No
RAC1	5879	5	Yes	Yes	No
RAC2	5880	3	Yes	Yes	No
RAD17	5884	1	Yes	No	Yes
RAD21	5885	6	Yes	No	Yes
RAD50	10111	4	Yes	No	Yes
RAD51	5888	5	Yes	No	Yes
RAD51B	5890	5	Yes	No	Yes
RAD51C	5889	4	Yes	No	Yes
RAD51D	5892	4	Yes	No	Yes
RAD52	5893	4	Yes	No	No
RAD54L	8438	4	Yes	No	No
RAF1	5894	6	Yes	Yes	No
RARA	5914	6	Yes	No	No
RASA1	5921	3	Yes	No	Yes
RB1	5925	7	Yes	No	Yes
RBM10	8241	5	Yes	No	Yes
RBM15	64783	3	Yes	Yes	Yes
RECQL	5965	3	Yes	No	Yes
RECQL4	9401	4	Yes	No	Yes
REL	5966	5	Yes	Yes	No
RELN	5649	2	Yes	No	No
REST	5978	2	Yes	No	Yes
RET	5979	7	Yes	Yes	No
REV3L	5980	1	Yes	Yes	No
RHEB	6009	3	Yes	Yes	No
RHOA	387	5	Yes	Yes	No
RICTOR	253260	5	Yes	Yes	No
RIT1	6016	3	Yes	Yes	No
RNASEH2A	10535	1	Yes	Yes	No
RNASEH2B	79621	1	Yes	No	Yes
RNF43	54894	7	Yes	No	Yes
ROBO1	6091	2	Yes	No	Yes
ROS1	6098	6	Yes	Yes	No
RPS6KA4	8986	3	Yes	Yes	No
RPS6KB2	6199	3	Yes	Yes	No
RPTOR	57521	5	Yes	Yes	No
RRAGC	64121	3	Yes	Yes	No
RRAS	6237	3	Yes	Yes	No
RRAS2	22800	3	Yes	Yes	No
RTEL1	51750	3	Yes	No	Yes
RUNX1	861	6	Yes	No	Yes
RUNX1T1	862	4	Yes	Yes	No
RXRA	6256	3	Yes	No	No
RYBP	23429	3	Yes	No	Yes
SAMHD1	25939	2	Yes	No	Yes
SCG5	6447	2	Yes	Yes	No
SDHA	6389	6	Yes	No	Yes
SDHAF2	54949	4	Yes	No	Yes
SDHB	6390	6	Yes	No	Yes
SDHC	6391	6	Yes	No	Yes
SDHD	6392	6	Yes	No	Yes
SERPINB3	6317	2	Yes	Yes	Yes
SERPINB4	6318	2	Yes	No	No
SESN1	27244	3	Yes	No	Yes
SESN2	83667	3	Yes	No	Yes
SESN3	143686	3	Yes	No	Yes
SET	6418	3	Yes	Yes	No
SETBP1	26040	5	Yes	Yes	No
SETD1A	9739	2	Yes	Yes	No
SETD1B	23067	2	Yes	No	No
SETD2	29072	7	Yes	No	Yes
SETD3	84193	2	Yes	No	No
SETD4	54093	2	Yes	No	No
SETD5	55209	2	Yes	No	No
SETD6	79918	2	Yes	No	No
SETD7	80854	2	Yes	No	No
SETDB1	9869	3	Yes	Yes	Yes
SETDB2	83852	2	Yes	No	Yes
SF3B1	23451	7	Yes	Yes	No
SFRP1	6422	1	Yes	No	Yes
SFRP2	6423	1	Yes	Yes	Yes
SGK1	6446	4	Yes	Yes	No
SH2B3	10019	4	Yes	No	Yes
SH2D1A	4068	3	Yes	No	Yes
SHOC2	8036	3	Yes	Yes	No
SHQ1	55164	3	Yes	No	Yes
SLFN11	91607	2	Yes	No	Yes
SLX4	84464	3	Yes	No	Yes
SMAD2	4087	7	Yes	No	Yes
SMAD3	4088	4	Yes	No	Yes
SMAD4	4089	7	Yes	No	Yes
SMARCA2	6595	2	Yes	No	Yes
SMARCA4	6597	7	Yes	No	Yes
SMARCB1	6598	7	Yes	No	Yes
SMARCD1	6602	4	Yes	No	No
SMARCE1	6605	3	Yes	Yes	Yes
SMC1A	8243	3	Yes	No	Yes
